"Result","Competitor","Nat","Venue","Date","Gender","Event","StateDope"
"1:42.79","Wilson Kipketer","DEN","Roma (Stadio Olimpico)","1999-07-07","men","800m","NULL"
"1:42.79","Yusuf Saad Kamel","BRN","Monaco (Stade Louis II)","2008-07-29","men","800m","NULL"
"1:42.79","Yuriy Borzakovskiy","RUS","Monaco (Stade Louis II)","2008-07-29","men","800m","NULL"
"1:42.80","Johnny Gray","USA","New Orleans, LA","1992-06-24","men","800m","NULL"
"1:42.81","Jean-Patrick Nduwimana","BDI","Zürich (Letzigrund)","2001-08-17","men","800m","NULL"
"1:42.81","David Lekuta Rudisha","KEN","Zürich (Letzigrund)","2012-08-30","men","800m","NULL"
"1:42.82","Duane Solomon","USA","London (Olympic Stadium)","2012-08-09","men","800m","NULL"
"1:42.83","Mohammed Aman","ETH","Monaco (Stade Louis II)","2014-07-18","men","800m","NULL"
"1:42.84","David Lekuta Rudisha","KEN","Nairobi","2010-07-30","men","800m","NULL"
"1:42.84","Ferguson Cheruiyot Rotich","KEN","Monaco (Stade Louis II)","2014-07-18","men","800m","NULL"
"1:42.85","Norberto Téllez","CUB","Atlanta (Olympic Stadium), GA","1996-07-31","men","800m","NULL"
"1:42.86","Mbulaeni Mulaudzi","RSA","Rieti","2009-09-06","men","800m","NULL"
"1:42.87","Wilson Kipketer","DEN","Monaco (Stade Louis II)","1995-07-25","men","800m","NULL"
"1:42.87","Japheth Kimutai","KEN","Zürich","1998-08-12","men","800m","NULL"
"1:42.87","Alfred Kipketer","KEN","Paris Saint-Denis (Stade de France)","2016-08-27","men","800m","NULL"
"1:42.87","Wilson Kipketer","DEN","Zürich","1995-08-16","men","800m","NULL"
"1:42.88","Steve Cram","GBR","Zürich (Letzigrund)","1985-08-21","men","800m","NULL"
"1:42.89","Mbulaeni Mulaudzi","RSA","Bruxelles (Boudewijnstadion)","2003-09-05","men","800m","NULL"
"1:42.90","Patrick Ndururi","KEN","Roma (Stadio Olimpico)","1998-07-14","men","800m","NULL"
"1:42.90","André Bucher","SUI","Monaco (Stade Louis II)","2001-07-20","men","800m","NULL"
"1:42.91","David Lekuta Rudisha","KEN","London (Crystal Palace)","2011-08-05","men","800m","NULL"
"1:42.91","William Yiampoy","KEN","Rieti","2002-09-08","men","800m","NULL"
"1:42.92","André Bucher","SUI","Bruxelles","1999-09-03","men","800m","NULL"
"1:42.93","Clayton Murphy","USA","Rio de Janeiro (Estádio Olímpico)","2016-08-15","men","800m","NULL"
"1:42.95","Nick Symmonds","USA","London (Olympic Stadium)","2012-08-09","men","800m","NULL"
"1:42.95","Boaz Kiplagat Lalang","KEN","Rieti (Guidobaldi)","2010-08-29","men","800m","NULL"
"1:42.95","Vebjørn Rodal","NOR","Oslo","1996-07-05","men","800m","NULL"
"1:42.96","Wilfred Bungei","KEN","Zürich (Letzigrund)","2001-08-17","men","800m","NULL"
"1:42.96","Johnny Gray","USA","Koblenz","1984-08-29","men","800m","NULL"
"1:42.97","Ayanleh Souleiman","DJI","Monaco (Stade Louis II)","2015-07-17","men","800m","NULL"
"1:42.97","Peter Elliott","GBR","Sevilla","1990-05-30","men","800m","NULL"
"1:42.98","David Lekuta Rudisha","KEN","Monaco (Stade Louis II)","2014-07-18","men","800m","NULL"
"1:42.98","Taoufik Makhloufi","ALG","Paris Saint-Denis (Stade de France)","2016-08-27","men","800m","NULL"
"1:42.98","Japheth Kimutai","KEN","Roma (Stadio Olimpico)","1999-07-07","men","800m","NULL"
"1:42.98","Joaquim Cruz","BRA","Berlin","1985-08-23","men","800m","NULL"
"1:42.98","Wilson Kipketer","DEN","Fukuoka","1997-09-13","men","800m","NULL"
"1:42.98","Patrick Konchellah","KEN","Köln","1997-08-24","men","800m","NULL"
"8727","Dave Johnson","USA","Azusa, CA","1992-04-24","men","decathlon","NULL"
"8729","Ashton Eaton","USA","Eugene (Hayward Field), OR","2011-06-24","men","decathlon","NULL"
"8730","Jürgen Hingsen","FRG","Stuttgart","1986-08-28","men","decathlon","NULL"
"8730","Daley Thompson","GBR","Götzis (Mösle-Stadium)","1982-05-23","men","decathlon","NULL"
"8730","Eduard Hämäläinen","FIN","Athína (Olympic Stadium)","1997-08-06","men","decathlon","NULL"
"8732","Bryan Clay","USA","Helsinki (Olympic Stadium)","2005-08-10","men","decathlon","NULL"
"8732","Tom Pappas","USA","Götzis (Mösle-Stadium)","2004-05-30","men","decathlon","NULL"
"8733","Tomáš Dvorák","CZE","Talence","2000-07-30","men","decathlon","NULL"
"8735","Eduard Hämäläinen","BLR","Götzis (Mösle-Stadium)","1994-05-29","men","decathlon","NULL"
"8738","Tomáš Dvorák","CZE","Götzis (Mösle-Stadium)","1999-05-30","men","decathlon","NULL"
"8741","Jürgen Hingsen","FRG","Ulm","1982-08-15","men","decathlon","NULL"
"8742","Erki Nool","EST","Götzis (Mösle-Stadium)","2000-06-04","men","decathlon","NULL"
"8744","Tomáš Dvorák","CZE","Sevilla (La Cartuja)","1999-08-25","men","decathlon","NULL"
"8750","Tom Pappas","USA","Paris Saint-Denis (Stade de France)","2003-08-27","men","decathlon","NULL"
"8750","Ashton Eaton","USA","Eugene (Hayward Field), OR","2016-07-03","men","decathlon","NULL"
"8755","Dan O'Brien","USA","Uniondale (Mitchel AC), NY","1998-07-20","men","decathlon","NULL"
"8757","Roman Šebrle","CZE","Götzis (Mösle-Stadium)","2000-06-04","men","decathlon","NULL"
"8762","Siegfried Wentz","FRG","Filderstadt-Bernhausen","1983-06-05","men","decathlon","NULL"
"8774","Daley Thompson","GBR","Athína","1982-09-08","men","decathlon","NULL"
"8784","Tom Pappas","USA","Palo Alto, CA","2003-06-22","men","decathlon","NULL"
"8790","Trey Hardee","USA","Berlin (Olympiastadion)","2009-08-20","men","decathlon","NULL"
"8791","Bryan Clay","USA","Beijing (National Stadium)","2008-08-22","men","decathlon","NULL"
"8792","Uwe Freimuth","GDR","Potsdam","1984-07-21","men","decathlon","GDR"
"8800","Roman Šebrle","CZE","München","2002-08-08","men","decathlon","NULL"
"8800","Roman Šebrle","CZE","Götzis (Mösle-Stadium)","2002-06-02","men","decathlon","NULL"
"8807","Roman Šebrle","CZE","Götzis (Mösle-Stadium)","2003-06-01","men","decathlon","NULL"
"8809","Ashton Eaton","USA","Moskva (Luzhniki)","2013-08-11","men","decathlon","NULL"
"8811","Daley Thompson","GBR","Stuttgart (Neckarstadion)","1986-08-28","men","decathlon","NULL"
"8812","Dan O'Brien","USA","Tokyo (Olympic Stadium)","1991-08-30","men","decathlon","NULL"
"8815","Erki Nool","EST","Edmonton (Commonwealth Stadium)","2001-08-07","men","decathlon","NULL"
"8817","Dan O'Brien","USA","Stuttgart (Gottlieb-Daimler Stadion)","1993-08-20","men","decathlon","NULL"
"8820","Bryan Clay","USA","Athína (Olympic Stadium)","2004-08-24","men","decathlon","NULL"
"8824","Dan O'Brien","USA","Atlanta (Olympic Stadium), GA","1996-08-01","men","decathlon","NULL"
"8825","Jürgen Hingsen","FRG","Filderstadt-Bernhausen","1983-06-05","men","decathlon","NULL"
"8832","Bryan Clay","USA","Eugene, OR","2008-06-30","men","decathlon","NULL"
"8832","Jürgen Hingsen","FRG","Mannheim","1984-06-09","men","decathlon","NULL"
"8834","Kevin Mayer","FRA","Rio de Janeiro (Estádio Olímpico)","2016-08-18","men","decathlon","NULL"
"8837","Tomáš Dvorák","CZE","Athína (Olympic Stadium)","1997-08-06","men","decathlon","NULL"
"8842","Roman Šebrle","CZE","Götzis (Mösle-Stadium)","2004-05-30","men","decathlon","NULL"
"8847","Daley Thompson","GBR","Los Angeles (Memorial Coliseum)","1984-08-09","men","decathlon","NULL"
"8869","Ashton Eaton","USA","London (Olympic Stadium)","2012-08-09","men","decathlon","NULL"
"8891","Dan O'Brien","USA","Talence","1992-09-05","men","decathlon","NULL"
"8893","Roman Šebrle","CZE","Athína (Olympic Stadium)","2004-08-24","men","decathlon","NULL"
"8893","Ashton Eaton","USA","Rio de Janeiro (Estádio Olímpico)","2016-08-18","men","decathlon","NULL"
"8900","Tomáš Dvorák","CZE","Götzis (Mösle-Stadium)","2000-06-04","men","decathlon","NULL"
"8902","Tomáš Dvorák","CZE","Edmonton (Commonwealth Stadium)","2001-08-07","men","decathlon","NULL"
"8994","Tomáš Dvorák","CZE","Praha","1999-07-04","men","decathlon","NULL"
"9026","Roman Šebrle","CZE","Götzis (Mösle-Stadium)","2001-05-27","men","decathlon","NULL"
"9039","Ashton Eaton","USA","Eugene (Hayward Field), OR","2012-06-23","men","decathlon","NULL"
"9045","Ashton Eaton","USA","Beijing (National Stadium)","2015-08-29","men","decathlon","NULL"
"69.91","John Godina","USA","Salinas, CA","1998-05-19","men","discus-throw","NULL"
"69.92","Imrich Bugár","CZE","Brno","1983-08-22","men","discus-throw","NULL"
"69.94","Imrich Bugár","CZE","Bruxelles","1984-08-24","men","discus-throw","NULL"
"69.95","Gerd Kanter","EST","Helsingborg","2008-07-30","men","discus-throw","NULL"
"69.95","Zoltán Kövágó","HUN","Salon-de-Provence","2006-05-25","men","discus-throw","NULL"
"69.95","Virgilijus Alekna","LTU","Zürich (Letzigrund)","2001-08-17","men","discus-throw","NULL"
"69.96","Art Burns","USA","Hayward, CA","1982-06-26","men","discus-throw","NULL"
"69.96","Frantz Kruger","RSA","Stellenbosch","2001-03-30","men","discus-throw","NULL"
"69.97","Frantz Kruger","FIN","Helsingborg","2007-09-15","men","discus-throw","NULL"
"69.97","Virgilijus Alekna","LTU","Halle","2007-05-19","men","discus-throw","NULL"
"69.98","John Powell","USA","Modesto, CA","1981-05-16","men","discus-throw","NULL"
"69.99","Gerd Kanter","EST","Helsingborg","2009-09-06","men","discus-throw","NULL"
"70.00","Róbert Fazekas","HUN","Réthimno","2003-07-06","men","discus-throw","NULL"
"70.00","Juan Martínez","CUB","La Habana","1983-05-21","men","discus-throw","NULL"
"70.00","Luis Delís","CUB","La Habana","1985-03-31","men","discus-throw","NULL"
"70.00","Mac Wilkins","USA","Nice","1976-08-16","men","discus-throw","NULL"
"70.01","Virgilijus Alekna","LTU","Vilnius","2007-04-18","men","discus-throw","NULL"
"70.02","Mac Wilkins","USA","Reykjavik","1978-08-17","men","discus-throw","NULL"
"70.04","Jay Silvester","USA","Ystad","1971-06-10","men","discus-throw","NULL"
"70.06","Romas Ubartas","URS","Smalininkai","1988-05-08","men","discus-throw","NULL"
"70.06","Imrich Bugár","TCH","Zaragoza","1983-05-22","men","discus-throw","NULL"
"70.10","Virgilijus Alekna","LTU","Tallinn","2006-09-22","men","discus-throw","NULL"
"70.10","Mac Wilkins","USA","Los Angeles (Westwood), CA","1976-06-11","men","discus-throw","NULL"
"70.10","Gerd Kanter","EST","Chula Vista, CA","2005-04-28","men","discus-throw","NULL"
"70.12","Gerd Kanter","EST","Valga","2007-06-05","men","discus-throw","NULL"
"70.16","Gerd Kanter","EST","Helsingborg","2007-08-11","men","discus-throw","NULL"
"70.17","Virgilijus Alekna","LTU","Helsinki (Olympic Stadium)","2005-08-07","men","discus-throw","NULL"
"70.20","Luis Delís","CUB","La Habana","1982-08-08","men","discus-throw","NULL"
"70.21","Virgilijus Alekna","LTU","Paris Saint-Denis","2004-07-23","men","discus-throw","NULL"
"70.24","Wolfgang Schmidt","GDR","Potsdam","1978-08-18","men","discus-throw","GDR"
"70.24","Imrich Bugár","TCH","Nitra","1984-08-26","men","discus-throw","NULL"
"70.26","Imrich Bugár","TCH","Cagliari","1984-09-08","men","discus-throw","NULL"
"70.28","Virgilijus Alekna","LTU","Klaipéda","2012-06-23","men","discus-throw","NULL"
"70.30","Yuriy Dumchev","URS","Bryansk","1988-07-31","men","discus-throw","NULL"
"70.31","Robert Harting","GER","Halle","2012-05-19","men","discus-throw","NULL"
"70.32","Gerd Kanter","EST","Helsingborg","2008-09-06","men","discus-throw","NULL"
"70.32","Frantz Kruger","RSA","Salon-de-Provence","2002-05-26","men","discus-throw","NULL"
"70.36","Gerd Kanter","EST","Kópavogur","2007-07-08","men","discus-throw","NULL"
"70.36","Mac Wilkins","USA","Modesto, CA","1983-05-14","men","discus-throw","NULL"
"70.38","Jay Silvester","USA","Lancaster, CA","1971-05-16","men","discus-throw","NULL"
"70.38","Gerd Kanter","EST","Chula Vista, CA","2008-05-02","men","discus-throw","NULL"
"70.39","Virgilijus Alekna","LTU","Tartu","2000-06-11","men","discus-throw","NULL"
"70.43","Virgilijus Alekna","LTU","Athína (Olympic Stadium)","2007-07-02","men","discus-throw","NULL"
"70.44","Mac Wilkins","USA","San José, CA","1984-06-09","men","discus-throw","NULL"
"70.46","Jürgen Schult","GDR","Berlin","1988-09-13","men","discus-throw","GDR"
"70.48","Mac Wilkins","USA","Eugene, OR","1978-05-31","men","discus-throw","NULL"
"70.48","Rickard Bruch","SWE","Malmö","1984-09-12","men","discus-throw","NULL"
"70.48","Mac Wilkins","USA","San José, CA","1978-04-29","men","discus-throw","NULL"
"70.51","Virgilijus Alekna","LTU","Oslo","2007-06-15","men","discus-throw","NULL"
"70.53","Virgilijus Alekna","LTU","Lausanne (Pontaise)","2005-07-05","men","discus-throw","NULL"
"70.54","Dmitriy Shevchenko","RUS","Krasnodar","2002-05-07","men","discus-throw","NULL"
"70.58","Luis Delís","CUB","Salinas, CA","1982-05-19","men","discus-throw","NULL"
"70.58","Virgilijus Alekna","LTU","Réthimno","2005-07-10","men","discus-throw","NULL"
"70.60","Lars Riedel","GER","Berlin","1996-08-30","men","discus-throw","NULL"
"70.61","Virgilijus Alekna","LTU","Tallinn","2005-09-16","men","discus-throw","NULL"
"70.66","Robert Harting","GER","Turnov","2012-05-22","men","discus-throw","NULL"
"70.66","Mac Wilkins","USA","Walnut, CA","1979-06-16","men","discus-throw","NULL"
"70.67","Virgilijus Alekna","LTU","Madrid","2005-07-16","men","discus-throw","NULL"
"70.72","Imrich Bugár","TCH","Schwechat","1983-06-18","men","discus-throw","NULL"
"70.78","Róbert Fazekas","HUN","Budapest","2003-05-10","men","discus-throw","NULL"
"70.82","Aleksander Tammert","EST","Denton, TX","2006-04-15","men","discus-throw","NULL"
"70.82","Ben Plucknett","USA","Salinas, CA","1983-06-01","men","discus-throw","NULL"
"70.83","Róbert Fazekas","HUN","Réthimno","2004-06-23","men","discus-throw","NULL"
"70.84","Gerd Kanter","EST","Chula Vista, CA","2009-04-28","men","discus-throw","NULL"
"70.86","Virgilijus Alekna","LTU","Réthimno","2008-07-14","men","discus-throw","NULL"
"70.86","Mac Wilkins","USA","San José, CA","1976-05-01","men","discus-throw","NULL"
"70.92","Wolfgang Schmidt","GDR","Norden","1989-09-09","men","discus-throw","GDR"
"70.92","Gerd Kanter","EST","Kaunas","2007-07-25","men","discus-throw","NULL"
"70.93","Gerd Kanter","EST","Helsingborg","2007-06-28","men","discus-throw","NULL"
"70.97","Virgilijus Alekna","LTU","Réthimno","2004-06-23","men","discus-throw","NULL"
"70.98","Art Burns","USA","Eugene, OR","1984-07-21","men","discus-throw","NULL"
"70.98","Mac Wilkins","USA","Helsinki","1980-07-09","men","discus-throw","NULL"
"70.99","Virgilijus Alekna","LTU","Stellenbosch","2001-03-30","men","discus-throw","NULL"
"71.00","Rickard Bruch","SWE","Malmö","1984-10-14","men","discus-throw","NULL"
"71.06","Luis Delís","CUB","La Habana","1983-05-21","men","discus-throw","NULL"
"71.06","Lars Riedel","GER","Zürich","1996-08-14","men","discus-throw","NULL"
"71.08","Virgilijus Alekna","LTU","Réthimno","2006-07-21","men","discus-throw","NULL"
"71.12","Virgilijus Alekna","LTU","Zürich","2000-08-11","men","discus-throw","NULL"
"71.14","Ben Plucknett","USA","Berkeley, CA","1983-06-12","men","discus-throw","NULL"
"71.14","Anthony Washington","USA","Salinas, CA","1996-05-22","men","discus-throw","NULL"
"71.16","Wolfgang Schmidt","GDR","Berlin","1978-08-09","men","discus-throw","GDR"
"71.18","Art Burns","USA","San José, CA","1983-07-19","men","discus-throw","NULL"
"71.25","Virgilijus Alekna","LTU","Turnov","2008-05-20","men","discus-throw","NULL"
"71.25","Róbert Fazekas","HUN","Madrid (CM)","2002-09-21","men","discus-throw","NULL"
"71.26","Rickard Bruch","SWE","Malmö","1984-11-15","men","discus-throw","NULL"
"71.26","John Powell","USA","San José, CA","1984-06-09","men","discus-throw","NULL"
"71.26","Imrich Bugár","TCH","San José, CA","1985-05-25","men","discus-throw","NULL"
"71.32","Ben Plucknett","USA","Eugene, OR","1983-06-04","men","discus-throw","NULL"
"71.45","Gerd Kanter","EST","Chula Vista, CA","2010-04-29","men","discus-throw","NULL"
"71.50","Lars Riedel","GER","Wiesbaden","1997-05-03","men","discus-throw","NULL"
"71.56","Virgilijus Alekna","LTU","Kaunas","2007-07-25","men","discus-throw","NULL"
"71.64","Gerd Kanter","EST","Kohila","2009-06-25","men","discus-throw","NULL"
"71.70","Róbert Fazekas","HUN","Szombathely","2002-07-14","men","discus-throw","NULL"
"71.84","Piotr Malachowski","POL","Hengelo (Blankers-Koen Stadion)","2013-06-08","men","discus-throw","NULL"
"71.86","Yuriy Dumchev","URS","Moskva","1983-05-29","men","discus-throw","NULL"
"71.88","Gerd Kanter","EST","Salinas, CA","2008-05-08","men","discus-throw","NULL"
"72.02","Gerd Kanter","EST","Salinas, CA","2007-05-03","men","discus-throw","NULL"
"73.38","Gerd Kanter","EST","Helsingborg","2006-09-04","men","discus-throw","NULL"
"73.88","Virgilijus Alekna","LTU","Kaunas","2000-08-03","men","discus-throw","NULL"
"74.08","Jürgen Schult","GDR","Neubrandenburg (Jahn Sportpark)","1986-06-06","men","discus-throw","GDR"
"82.92","Koji Murofushi","JPN","Edmonton (Commonwealth Stadium)","2001-08-05","men","hammer-throw","NULL"
"82.92","Igor Nikulin","RUS","Leningrad","1983-06-03","men","hammer-throw","NULL"
"82.94","Vadim Devyatovskiy","BLR","Minsk","2007-07-28","men","hammer-throw","NULL"
"82.94","Koji Murofushi","JPN","Brisbane","2001-09-07","men","hammer-throw","NULL"
"82.95","Vadim Devyatovskiy","BLR","Minsk","2006-07-22","men","hammer-throw","NULL"
"82.95","Koji Murofushi","JPN","Osaka","2003-05-10","men","hammer-throw","NULL"
"82.96","Igor Astapkovich","URS","Novopolotsk","1987-09-26","men","hammer-throw","NULL"
"82.97","Adrián Annus","HUN","Szombathely","2002-07-14","men","hammer-throw","NULL"
"83.00","Balázs Kiss","HUN","Saint-Denis","1998-06-04","men","hammer-throw","NULL"
"83.00","Igor Astapkovich","BLR","Sevilla","1994-06-05","men","hammer-throw","NULL"
"83.02","Yuriy Sedykh","URS","Adler","1986-05-24","men","hammer-throw","NULL"
"83.04","Heinz Weis","GER","Frankfurt","1997-06-29","men","hammer-throw","NULL"
"83.05","Ivan Tsikhan","BLR","Paris Saint-Denis (Stade de France)","2003-08-25","men","hammer-throw","NULL"
"83.06","Sergey Litvinov","URS","Roma (Stadio Olimpico)","1987-09-01","men","hammer-throw","NULL"
"83.10","Sergey Litvinov","URS","Haniá","1983-05-22","men","hammer-throw","NULL"
"83.10","Andrey Abduvaliyev","UZB","Tashkent","1995-09-07","men","hammer-throw","NULL"
"83.12","Pawel Fajdek","POL","Székesfehérvár (Sóstói Stadion)","2015-07-07","men","hammer-throw","NULL"
"83.12","Yuriy Sedykh","URS","Leningrad","1988-06-12","men","hammer-throw","NULL"
"83.14","Igor Astapkovich","BLR","Moskva","1992-06-23","men","hammer-throw","NULL"
"83.14","Igor Astapkovich","BLR","Roma (Stadio Olimpico)","1994-06-08","men","hammer-throw","NULL"
"83.15","Koji Murofushi","JPN","Yokohama","2004-09-23","men","hammer-throw","NULL"
"83.16","Andrey Abduvaliyev","TJK","Moskva","1990-06-10","men","hammer-throw","NULL"
"83.18","Sergey Litvinov","RUS","Rostov","1988-05-08","men","hammer-throw","NULL"
"83.18","Jüri Tamm","URS","Vladivostok","1988-09-14","men","hammer-throw","NULL"
"83.24","Andrey Abduvaliyev","TJK","Zürich","1994-08-17","men","hammer-throw","NULL"
"83.29","Koji Murofushi","JPN","Yokohama","2003-06-08","men","hammer-throw","NULL"
"83.30","Olli-Pekka Karjalainen","FIN","Lahti","2004-07-14","men","hammer-throw","NULL"
"83.32","Jüri Tamm","URS","Budapest","1984-08-20","men","hammer-throw","NULL"
"83.33","Koji Murofushi","JPN","Doha","2002-05-15","men","hammer-throw","NULL"
"83.36","Jüri Tamm","URS","Kyiv","1988-05-04","men","hammer-throw","NULL"
"83.36","Ivan Tsikhan","BLR","Minsk","2004-06-26","men","hammer-throw","NULL"
"83.36","Andrey Abduvaliyev","TJK","Budapest","1994-06-03","men","hammer-throw","NULL"
"83.38","Szymon Ziólkowski","POL","Edmonton (Commonwealth Stadium)","2001-08-05","men","hammer-throw","NULL"
"83.39","Adrián Annus","HUN","Zalaegerszeg","2001-06-09","men","hammer-throw","NULL"
"83.40","Ralf Haber","GDR","Athína","1988-05-16","men","hammer-throw","GDR"
"83.40","Jüri Tamm","URS","Adler","1985-05-25","men","hammer-throw","NULL"
"83.43","Aleksey Zagornyi","RUS","Adler","2002-02-10","men","hammer-throw","NULL"
"83.44","Igor Nikulin","RUS","Sevilla","1992-06-06","men","hammer-throw","NULL"
"83.44","Igor Astapkovich","URS","Minsk","1988-07-31","men","hammer-throw","NULL"
"83.46","Andrey Abduvaliyev","TJK","Sochi","1990-05-26","men","hammer-throw","NULL"
"83.47","Koji Murofushi","JPN","Toyota","2001-07-14","men","hammer-throw","NULL"
"83.48","Pawel Fajdek","POL","Warszawa (Stadion Narodowy)","2014-08-23","men","hammer-throw","NULL"
"83.48","Sergey Litvinov","URS","Karl-Marx-Stadt","1987-06-21","men","hammer-throw","NULL"
"83.54","Igor Nikulin","URS","Athína","1982-09-02","men","hammer-throw","NULL"
"83.58","Sergey Litvinov","URS","Moskva","1984-07-08","men","hammer-throw","NULL"
"83.62","Igor Astapkovich","BLR","Minsk","1998-06-20","men","hammer-throw","NULL"
"83.62","Sergey Litvinov","URS","Vladivostok","1988-09-14","men","hammer-throw","NULL"
"83.63","Ivan Tsikhan","BLR","Osaka (Nagai Stadium)","2007-08-27","men","hammer-throw","NULL"
"83.64","Ivan Tsikhan","BLR","Brest, BLR","2003-07-10","men","hammer-throw","NULL"
"83.65","Adrián Annus","HUN","Debrecen","2004-07-11","men","hammer-throw","NULL"
"83.66","Jüri Tamm","URS","Tokyo","1985-09-22","men","hammer-throw","NULL"
"83.68","Tibor Gécsek","HUN","Zalaegerszeg","1998-09-19","men","hammer-throw","NULL"
"83.69","Vadim Devyatovskiy","BLR","Brest, BLR","2005-07-03","men","hammer-throw","NULL"
"83.76","Yuriy Sedykh","URS","Seoul (Olympic Stadium)","1988-09-26","men","hammer-throw","NULL"
"83.78","Igor Nikulin","URS","Leningrad","1988-06-18","men","hammer-throw","NULL"
"83.90","Yuriy Sedykh","URS","Roma","1984-08-31","men","hammer-throw","NULL"
"83.93","Pawel Fajdek","POL","Szczecin (Miejski Stadion)","2015-08-09","men","hammer-throw","NULL"
"83.96","Igor Nikulin","URS","Nice","1990-07-10","men","hammer-throw","NULL"
"83.97","Ivan Tsikhan","BLR","Minsk","2004-07-10","men","hammer-throw","NULL"
"83.98","Sergey Litvinov","URS","Moskva","1982-06-04","men","hammer-throw","NULL"
"84.02","Sergey Litvinov","URS","Helsinki","1986-07-07","men","hammer-throw","NULL"
"84.04","Sergey Litvinov","URS","Adler","1988-06-01","men","hammer-throw","NULL"
"84.08","Jüri Tamm","URS","Budapest","1985-08-04","men","hammer-throw","NULL"
"84.12","Igor Astapkovich","URS","Seattle, WA","1990-07-26","men","hammer-throw","NULL"
"84.14","Igor Astapkovich","URS","Split (Poljud Stadion)","1990-08-31","men","hammer-throw","NULL"
"84.14","Yuriy Sedykh","URS","Helsinki","1986-07-07","men","hammer-throw","NULL"
"84.14","Sergey Litvinov","URS","Moskva","1983-06-21","men","hammer-throw","NULL"
"84.16","Jüri Tamm","URS","Kharkov","1988-06-19","men","hammer-throw","NULL"
"84.19","Adrián Annus","HUN","Szombathely","2003-08-10","men","hammer-throw","NULL"
"84.26","Yuriy Sedykh","URS","Nice","1986-07-15","men","hammer-throw","NULL"
"84.26","Igor Astapkovich","URS","Reims","1991-07-03","men","hammer-throw","NULL"
"84.32","Ivan Tsikhan","BLR","Minsk","2003-08-08","men","hammer-throw","NULL"
"84.36","Sergey Litvinov","URS","Tallinn","1986-06-22","men","hammer-throw","NULL"
"84.40","Jüri Tamm","URS","Banská Bystrica","1984-09-09","men","hammer-throw","NULL"
"84.46","Yuriy Sedykh","URS","Vladivostok","1988-09-14","men","hammer-throw","NULL"
"84.46","Ivan Tsikhan","BLR","Minsk","2004-05-07","men","hammer-throw","NULL"
"84.48","Igor Nikulin","URS","Lausanne","1990-07-12","men","hammer-throw","NULL"
"84.51","Ivan Tsikhan","BLR","Grodno","2008-07-09","men","hammer-throw","NULL"
"84.58","Yuriy Sedykh","URS","Leningrad","1986-06-08","men","hammer-throw","NULL"
"84.60","Yuriy Sedykh","URS","Tokyo","1984-09-14","men","hammer-throw","NULL"
"84.62","Igor Astapkovich","BLR","Sevilla","1992-06-06","men","hammer-throw","NULL"
"84.64","Sergey Litvinov","URS","Moskva","1986-07-09","men","hammer-throw","NULL"
"84.72","Yuriy Sedykh","URS","Moskva","1986-07-09","men","hammer-throw","NULL"
"84.80","Sergey Litvinov","URS","Seoul (Olympic Stadium)","1988-09-26","men","hammer-throw","NULL"
"84.86","Koji Murofushi","JPN","Praha (Stadion Juliska)","2003-06-29","men","hammer-throw","NULL"
"84.88","Sergey Litvinov","URS","Roma (Stadio Olimpico)","1986-09-10","men","hammer-throw","NULL"
"84.90","Vadim Devyatovskiy","BLR","Minsk","2005-07-21","men","hammer-throw","NULL"
"84.92","Yuriy Sedykh","URS","Dresden","1986-07-03","men","hammer-throw","NULL"
"85.02","Yuriy Sedykh","URS","Budapest","1984-08-20","men","hammer-throw","NULL"
"85.14","Sergey Litvinov","URS","London","1986-07-11","men","hammer-throw","NULL"
"85.14","Yuriy Sedykh","URS","Moskva","1988-09-04","men","hammer-throw","NULL"
"85.20","Sergey Litvinov","URS","Cork","1984-07-03","men","hammer-throw","NULL"
"85.60","Yuriy Sedykh","URS","Moskva","1984-08-17","men","hammer-throw","NULL"
"85.60","Yuriy Sedykh","URS","London","1984-07-13","men","hammer-throw","NULL"
"85.68","Yuriy Sedykh","URS","Budapest","1986-08-11","men","hammer-throw","NULL"
"85.74","Sergey Litvinov","URS","Stuttgart (Neckarstadion)","1986-08-30","men","hammer-throw","NULL"
"86.04","Sergey Litvinov","URS","Dresden","1986-07-03","men","hammer-throw","NULL"
"86.34","Yuriy Sedykh","URS","Cork","1984-07-03","men","hammer-throw","NULL"
"86.66","Yuriy Sedykh","URS","Tallinn","1986-06-22","men","hammer-throw","NULL"
"86.74","Yuriy Sedykh","URS","Stuttgart (Neckarstadion)","1986-08-30","men","hammer-throw","NULL"
"2.37","Gennadiy Avdeyenko","URS","Stockholm","1989-07-03","men","high-jump","NULL"
"2.37","Javier Sotomayor","CUB","Stockholm","1989-07-03","men","high-jump","NULL"
"2.37","Javier Sotomayor","CUB","Oslo","1989-07-01","men","high-jump","NULL"
"2.37","Sorin Matei","ROU","Bucuresti","1988-06-11","men","high-jump","NULL"
"2.37","Tom McCants","USA","Columbus, OH","1988-05-08","men","high-jump","NULL"
"2.37","Javier Sotomayor","CUB","Athína","1987-06-20","men","high-jump","NULL"
"2.37","Igor Paklin","URS","Köln","1986-08-17","men","high-jump","NULL"
"2.37","Carlo Thränhardt","GER","Rieti","1984-09-02","men","high-jump","NULL"
"2.37","Patrik Sjöberg","SWE","Nice","1988-07-10","men","high-jump","NULL"
"2.37","Jerome Carter","USA","Columbus, OH","1988-05-08","men","high-jump","NULL"
